id,fk_ns,term,fk_canonic,fk_source,is_canonic,is_cult,is_suspect,created,jinfo
1,1,acesso,,{-50},t,t,f,2020-10-01,
2,1,acesso local,,{-50},t,t,f,2020-10-01,
3,1,adutora,,{-50},t,t,f,2020-10-01,
4,1,alameda,,{-50},t,t,f,2020-10-01,
323,1,alca,5,{-50},f,f,f,2020-10-01,
5,1,alça,,{-50},t,t,f,2020-10-01,
6,1,alto,,{-50},t,t,f,2020-10-01,
7,1,anel,,{-50},t,t,f,2020-10-01,
324,1,anel viario,8,{-50},f,f,f,2020-10-01,
8,1,anel viário,,{-50},t,t,f,2020-10-01,
9,1,antiga estrada,,{-50},t,t,f,2020-10-01,
10,1,arroio,,{-50},t,t,f,2020-10-01,
325,1,arteria,11,{-50},f,f,f,2020-10-01,
11,1,artéria,,{-50},t,t,f,2020-10-01,
12,1,atalho,,{-50},t,t,f,2020-10-01,
13,1,avenida,,{-50},t,t,f,2020-10-01,
14,1,avenida contorno,,{-50},t,t,f,2020-10-01,
15,1,avenida marginal,,{-50},t,t,f,2020-10-01,
16,1,avenida marginal direita,,{-50},t,t,f,2020-10-01,
17,1,avenida marginal esquerda,,{-50},t,t,f,2020-10-01,
18,1,avenida velha,,{-50},t,t,f,2020-10-01,
19,1,balao,,{-50},t,t,f,2020-10-01,
20,1,beco,,{-50},t,t,f,2020-10-01,
14910,1,boulevard,,{5524},t,t,f,2020-10-04,
14911,1,cais,,{5524},t,t,f,2020-10-04,
21,1,caminho,,{-50},t,t,f,2020-10-01,
14912,1,ciclovia,,{5524},t,t,f,2020-10-04,
22,1,contorno,,{-50},t,t,f,2020-10-01,
23,1,corredor,,{-50},t,t,f,2020-10-01,
24,1,descida,,{-50},t,t,f,2020-10-01,
25,1,desvio,,{-50},t,t,f,2020-10-01,
14913,1,diretriz,,{5524},t,t,f,2020-10-04,
26,1,entrada particular,,{-50},t,t,f,2020-10-01,
27,1,entre quadra,,{-50},t,t,f,2020-10-01,
28,1,escada,,{-50},t,t,f,2020-10-01,
29,1,escadaria,,{-50},t,t,f,2020-10-01,
14914,1,esplanada,,{5524},t,t,f,2020-10-04,
30,1,estrada,,{-50},t,t,f,2020-10-01,
326,1,estrada de ligacao,31,{-50},f,f,f,2020-10-01,
31,1,estrada de ligação,,{-50},t,t,f,2020-10-01,
327,1,estrada de servidao,32,{-50},f,f,f,2020-10-01,
32,1,estrada de servidão,,{-50},t,t,f,2020-10-01,
33,1,estrada estadual,,{-50},t,t,f,2020-10-01,
34,1,estrada intermunicipal,,{-50},t,t,f,2020-10-01,
35,1,estrada municipal,,{-50},t,t,f,2020-10-01,
36,1,estrada vicinal,,{-50},t,t,f,2020-10-01,
14915,1,galeria,,{5524},t,t,f,2020-10-04,
14916,1,ilha,,{5524},t,t,f,2020-10-04,
14917,1,jardim,,{5524},t,t,f,2020-10-04,
37,1,ladeira,,{-50},t,t,f,2020-10-01,
14918,1,lago,,{5524},t,t,f,2020-10-04,
38,1,largo,,{-50},t,t,f,2020-10-01,
14919,1,limite,,{5524},t,t,f,2020-10-04,
39,1,linha,,{-50},t,t,f,2020-10-01,
14920,1,mercado,,{5524},t,t,f,2020-10-04,
40,1,paralela,,{-50},t,t,f,2020-10-01,
14921,1,parque,,{5524},t,t,f,2020-10-04,
41,1,passagem,,{-50},t,t,f,2020-10-01,
14922,1,passarela,,{5524},t,t,f,2020-10-04,
42,1,passeio,,{-50},t,t,f,2020-10-01,
936,1,perimetral,,{-50},t,t,f,2020-10-01,
43,1,ponte,,{-50},t,t,f,2020-10-01,
328,1,praca,44,{-50},f,f,f,2020-10-01,
44,1,praça,,{-50},t,t,f,2020-10-01,
45,1,prolongamento,,{-50},t,t,f,2020-10-01,
46,1,ramal,,{-50},t,t,f,2020-10-01,
47,1,rampa,,{-50},t,t,f,2020-10-01,
48,1,reta,,{-50},t,t,f,2020-10-01,
49,1,retorno,,{-50},t,t,f,2020-10-01,
50,1,riacho,,{-50},t,t,f,2020-10-01,
329,1,ribeirao,51,{-50},f,f,f,2020-10-01,
51,1,ribeirão,,{-50},t,t,f,2020-10-01,
14923,1,rio,,{5524},t,t,f,2020-10-04,
159,1,rodo anel,52,{-50},f,f,t,2020-10-01,
52,1,rodoanel,,{-50},t,t,f,2020-10-01,
53,1,rodovia,,{-50},t,t,f,2020-10-01,
54,1,rodovia estadual,,{-50},t,t,f,2020-10-01,
55,1,rodovia municipal,,{-50},t,t,f,2020-10-01,
56,1,rodovia vicinal,,{-50},t,t,f,2020-10-01,
57,1,rotatoria,,{-50},t,t,f,2020-10-01,
330,1,rotula,58,{-50},f,f,f,2020-10-01,
58,1,rótula,,{-50},t,t,f,2020-10-01,
59,1,rua,,{-50},t,t,f,2020-10-01,
331,1,rua de ligacao,60,{-50},f,f,f,2020-10-01,
60,1,rua de ligação,,{-50},t,t,f,2020-10-01,
61,1,rua de pedestre,,{-50},t,t,f,2020-10-01,
62,1,rua particular,,{-50},t,t,f,2020-10-01,
63,1,rua velha,,{-50},t,t,f,2020-10-01,
64,1,ruela,,{-50},t,t,f,2020-10-01,
332,1,saida,65,{-50},f,f,f,2020-10-01,
65,1,saída,,{-50},t,t,f,2020-10-01,
333,1,servidao,66,{-50},f,f,f,2020-10-01,
66,1,servidão,,{-50},t,t,f,2020-10-01,
67,1,subida,,{-50},t,t,f,2020-10-01,
14924,1,terminal,,{5524},t,t,f,2020-10-04,
68,1,travessa,,{-50},t,t,f,2020-10-01,
69,1,travessa particular,,{-50},t,t,f,2020-10-01,
70,1,travessa velha,,{-50},t,t,f,2020-10-01,
14925,1,travessia,,{5524},t,t,f,2020-10-04,
334,1,tunel,71,{-50},f,f,f,2020-10-01,
71,1,túnel,,{-50},t,t,f,2020-10-01,
72,1,vala,,{-50},t,t,f,2020-10-01,
73,1,variante,,{-50},t,t,f,2020-10-01,
74,1,vereda,,{-50},t,t,f,2020-10-01,
75,1,via,,{-50},t,t,f,2020-10-01,
76,1,via coletora,,{-50},t,t,f,2020-10-01,
77,1,via costeira,,{-50},t,t,f,2020-10-01,
78,1,via de acesso,,{-50},t,t,f,2020-10-01,
79,1,via de pedestre,,{-50},t,t,f,2020-10-01,
14926,1,via de trânsito coletivo,,{5524},t,t,f,2020-10-04,
80,1,viaduto,,{-50},t,t,f,2020-10-01,
81,1,via elevada,,{-50},t,t,f,2020-10-01,
82,1,via expressa,,{-50},t,t,f,2020-10-01,
335,1,via litoranea,83,{-50},f,f,f,2020-10-01,
83,1,via litorânea,,{-50},t,t,f,2020-10-01,
84,1,via local,,{-50},t,t,f,2020-10-01,
166,1,vicinal,56,{-50},f,t,f,2020-10-01,
85,1,viela,,{-50},t,t,f,2020-10-01,
86,1,viladuto,,{-50},t,t,f,2020-10-01,
